N_unmapped	1200000	1200000	1200000
N_multimapping	830000	830000	830000
N_noFeature	310000	410000	405000
N_ambiguous	12000	14000	13500
ENSG00000000003	2583333	50000	2533333
ENSG00000000005	5166666	100000	5066666
ENSG00000000419	7750000	150000	7600000
ENSG00000000457	10333333	200000	10133333
ENSG00000000460	12916666	250000	12666666
ENSG00000000938	2583333	50000	2533333
ENSG00000000971	5166666	100000	5066666
ENSG00000001036	7750000	150000	7600000
ENSG00000001084	10333333	200000	10133333
ENSG00000001167	12916666	250000	12666666
ENSG00000001460	2583333	50000	2533333
ENSG00000001461	5166666	100000	5066666
